url,reviewer,reviewer_avatar,datetime,rating,text,language,id,place_id
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s104642107763239151546!2s0x0:0xf380b78af9afe86f?hl=en-US,kenni .Shawni,https://lh3.googleusercontent.com/a-/AOh14GhEEked-2BvM7H4Nbh9g5V8TJIlIH4AW00khIhofA=c0x00000000-cc-rp,2018-07-24T18:38:00Z,4.0,"Bonito restaurante.Buena comida, instalaciones limpias y personal amable.Tengo que estar de acuerdo, la comida lleva un poco más de tiempo, pero no es terrible.",es,17546225955757877359-1532446739.555,ChIJ_6PxIP_-0YURb-iv-Yq3gPM
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s113295171908155851230!2s0x0:0x8f3edc20c66e7612?hl=en-US,Cesar Poot,https://lh3.googleusercontent.com/a-/AOh14Ghu3E7ERrWsrr8FaFeiDtHZFJD3IVAdOaOYcOfOjQ=c0x00000000-cc-rp,2019-02-02T07:31:00Z,5.0,Yo como,es,10321929429305947666-1549081912.831,ChIJ06Wq3J4BzoUREnZuxiDcPo8
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s100454150601622351315!2s0x0:0xec254b8e0674c241?hl=en-US,Oscar Corona,https://lh3.googleusercontent.com/-IPDZWwWv5aM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmvNE1y_cF7Uf8nkj3I3wGOvtJ_zw/c0x00000000-cc-rp/photo.jpg,2019-10-16T19:49:00Z,5.0,Fresco,es,17016089840455041601-1571244541.205,ChIJ0RedUVYCzoURQcJ0Bo5LJew
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s100018611233465625321!2s0x0:0x980a55c81899f565?hl=en-US,Martín Morales Rodríguez,https://lh3.googleusercontent.com/a-/AOh14Gjsr7C3KrIHIurOsAWAGFB6mIdhs9P0Y-i9h9TIxw=c0x00000000-cc-rp,2020-09-19T21:04:00Z,5.0,"La comida es realmente sabrosa, y el restaurante tiene una vista increíble.Recomiendo sentarme afuera.",es,10955663361426716005-1600538665.236,ChIJ0Vr0QeUB0oURZfWZGMhVCpg
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s110265664144225947032!2s0x0:0x980a55c81899f565?hl=en-US,Sara Garcia,https://lh5.googleusercontent.com/-84Ll-fJ2lyI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclRaKlzstptALsiy8V0aJ9_mfRzwA/c0x00000000-cc-rp/photo.jpg,2020-08-31T01:15:00Z,5.0,Gran servicio.Celebramos un cumpleaños y fue genial.,es,10955663361426716005-1598825728.059,ChIJ0Vr0QeUB0oURZfWZGMhVCpg
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s103925653882836474291!2s0x0:0x980a55c81899f565?hl=en-US,Alejandra Perez,https://lh3.googleusercontent.com/a-/AOh14GiOEls3lt7eoCiMgOlS8sptgqsDZtwKBOzjGMehZw=c0x00000000-cc-rp,2020-08-15T23:34:00Z,4.0,"Deliciosa comida, buen servicio.Limpio y pacífico, pero el lugar necesita mantenimiento",es,10955663361426716005-1597523667.337,ChIJ0Vr0QeUB0oURZfWZGMhVCpg
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s103114493538326496151!2s0x0:0x980a55c81899f565?hl=en-US,Francesco PAVONCELLI,https://lh3.googleusercontent.com/a-/AOh14GiTY8M-4RRzvIuEZINFR_vNpoJoLgqubcN4o7NdaA=c0x00000000-cc-rp,2020-03-27T19:03:00Z,5.0,"Uno de los mejores restaurantes de la Ciudad de México, muy bien frecuentado y adecuado para individuos y grupos.Estuve allí durante el día para el almuerzo y lo habría apreciado más si Montezuma no hubiera comenzado a vengarse de mí también.Sin embargo, a pesar de todo lo que he disfrutado el entorno que ofrece una calma rara en esta inmensa y súper activa ciudad.¡Definitivamente volveré!",es,10955663361426716005-1585325007.411,ChIJ0Vr0QeUB0oURZfWZGMhVCpg
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s104164234955771156756!2s0x0:0x980a55c81899f565?hl=en-US,Farooq Akbar,https://lh3.googleusercontent.com/a-/AOh14Gj-4C-pP8uEuY5KbDNAd6mGDJHR0T0F2lwxLdIGgg=c0x00000000-cc-rp,2020-03-20T02:04:00Z,5.0,Muy buen restaurante en la Ciudad de México.Restaurante elegante y en un vecindario seguro y costoso.,es,10955663361426716005-1584659063.071,ChIJ0Vr0QeUB0oURZfWZGMhVCpg
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s118301061443494363756!2s0x0:0x228696fa4575f15b?hl=en-US,Eloy Cesar Chavez Soto,https://lh3.googleusercontent.com/a-/AOh14GhDYwvTbKBFkowQIp3-fbjP_GuBxUGFTJp55KMh=c0x00000000-cc-rp,2020-10-01T07:56:00Z,5.0,Uno de los mejores lugares para comer en México.En la temporada de lluvias no puedes perderte Escamoles.,es,2487841845820125531-1601528214.056,ChIJ21LyB_f_0YURW_F1RfqWhiI
https://www.google.com/maps/reviews/data=!4m5!14m4!1m3!1m2!1s117052482322885017228!2s0x0:0x228696fa4575f15b?hl=en-US,RICARDO REVILLA,https://lh6.googleusercontent.com/-qXscjHFkXyY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzp44fqN5U8s4zohGAxNYZAvyLLQ/c0x00000000-cc-rp/photo.jpg,2020-03-11T05:12:00Z,4.0,De acuerdo,es,2487841845820125531-1583892760.629,ChIJ21LyB_f_0YURW_F1RfqWhiI
